merchant_key,merchant_name
11_plc_hospitality,11 Plc Hospitality
230_fifth,230 Fifth
24_seven_mini_mart,24 Seven Mini Mart
4b_adekunle,4B Adekunle
5_rabanitos_restaura,5 Rabanitos Restaura
60_e_lake_street,60 E. Lake Street
9_muses_bar_grill,9 Muses Bar Grill
9th_sky_high,9th Sky High
aaa,AAA
abruzzo_ewr_c1,Abruzzo (EWR C1)
agave_maria,Agave Maria
air_margaritaville,Air Margaritaville
airbnb,Airbnb
airport_retail_enterprises,Airport Retail Enterprises
alamo_rent_a_car,Alamo Rent A Car
all_star_seafood,All Star Seafood
all_star_seafood_s,All Star Seafood S
alliance_bakery,Alliance Bakery
aloha_poke_merchan,Aloha Poke Merchan
amazon,Amazon
amazon_prime,Amazon Prime
american_airlines,American Airlines
americano,Americano
andy_s_greek_taverna,Andy's Greek Taverna
angel_orient_zettle,Angel Orient (Zettle)
angel_vape,Angel Vape
anglo_african_property_holdings,Anglo African Property Holdings
apple,Apple
arby_s,Arby's
arden_barbershop,Arden Barbershop
aris,Aris
arlo_chicago_fandb,ARLO Chicago (F&B)
art_institute_of_chicago,Art Institute of Chicago
artcaffe,Artcaffe
asmara_entertainment,Asmara Entertainment
aspen_place_flagstaff,Aspen Place (Flagstaff)
atandt,AT&T
athletico,Athletico
atlanta_airport,Atlanta Airport
attaboy,Attaboy
august_sun_investments,August Sun Investments
auntie_anne_s,Auntie Anne's
avec_west_loop,Avec West Loop
bait_maryam,Bait Maryam
ballie_ballerson_shoreditch,Ballie Ballerson (Shoreditch)
bandit,Bandit
banger_s_austin,Banger's Austin
bao_soho,BAO Soho
bar_partners_inc,Bar Partners Inc
bar_siena,Bar Siena
bbandk_limited,BB&K Limited
beautiful_rind,Beautiful Rind
beauty_and_essex,Beauty & Essex
ben_s_pizzeria,Ben's Pizzeria
benita_bakery,Benita Bakery
berry_park,Berry Park
bert_s_car_wash,Bert's Car Wash
beta_gamma_sigma,Beta Gamma Sigma
beyond_the_pale,Beyond the Pale
big_time_boots,Big Time Boots
bilt,Bilt
binny_s,Binny's
bla_bla_beach_club,Bla Bla Beach Club
black_barrel_tavern,Black Barrel Tavern
blacklock_canary_wharf,Blacklock Canary Wharf
blackwell_s,Blackwell's
blenders_and_bowls,Blenders and Bowls
blind_barber,Blind Barber
bloom_plant_based,Bloom Plant Based Kitchen
bloom_plant_based_ki,Bloom Plant Based Ki
bloomingdale_s,Bloomingdale's
blue_bottle_coffee,Blue Bottle Coffee
blue_haven_south,Blue Haven South
bob_bob_ricard,Bob Bob Ricard
bocado,Bocado
bocas,Bocas
bodega_west_loop,Bodega West Loop
boeufhaus,Boeufhaus
bombay_wraps,Bombay Wraps (Ohio)
bombay_wraps_ohio,Bombay Wraps Ohio
booking_com,Booking.com
bookstore_st840,Bookstore ST840
booth_groups,Booth Groups
bootleggers_inn,Bootleggers Inn
boots,Boots
boqueria_chicago,Boqueria Chicago
bottega_prosecco_bar,Bottega Prosecco Bar
bp,BP
brindisa_soho,Brindisa Soho
british_airways,British Airways
broken_english_taco_pub,Broken English Taco Pub
bubbles_ord,Bubbles (ORD)
buvette,Buvette
c_est_la_vie_cafe,C'est La Vie Cafe
cafe_blue,Cafe Blue
cafe_maud,Cafe Maud
cafe_michelle,Cafe Michelle
cafe_tola,Cafe Tola
caff_nero,Caff̬ Nero
camden_eye,Camden Eye
camden_local,Camden Local
camden_road_arms,Camden Road Arms
canal_express,Canal Express
card_interest,Card Interest
card_late_fee,Card Late Fee
careem,Careem
careem_food,Careem Food
careem_quik,Careem Quik
carrefour,Carrefour
cars_taxi,Cars Taxi
casa_de_sonia,Casa de Sonia
center_parcs_fandb,Center Parcs F&B
chandarana_supermarket,Chandarana Supermarket
chicago_brewhouse,Chicago Brewhouse
chicago_special_event_square,Chicago Special Event (Square)
chicago_staypineap,Chicago Staypineap
chicago_touch,Chicago Touch
chicago_winery,Chicago Winery
chirl_roanoke_rest,Chirl Roanoke Rest
ciaran_hughes_zettle,Ciaran Hughes (Zettle)
circle_k,Circle K
circle_off_licence,Circle Off Licence
city_of_austin_parks_and_rec,City of Austin Parks & Rec
city_of_chicago,City of Chicago
city_of_flagstaff,City of Flagstaff
city_winery,City Winery
city_winery_chicag,City Winery Chicag
cityfront_garage,Cityfront Garage
cmt_taxi,CMT Taxi
co_op,Co-op
cock_and_lion,Cock & Lion
cofco_limited,COFCO Limited
coffee_garden,Coffee Garden
commons_club,Commons Club
cort_furniture,CORT Furniture
coursera,Coursera
crif_dogs_113_st,Crif Dogs 113 St
cruz_blanca,Cruz Blanca
crystal_edge_restaurant,Crystal Edge Restaurant
curb_taxi,Curb Taxi
cursor,Cursor
cvs,CVS
