merchant_key,account_id,is_default,effective_from,effective_to
flask,acct_381b1169a4,True,,
flatiron_coffee_jfk,acct_70da8b7940,True,,
flats_fix,acct_381b1169a4,True,,
fluidfreeride,acct_223b76f31e,True,,
forever_sales_enterprise,acct_381b1169a4,True,,
four_seasons_adorn_bar,acct_252a9dfee6,True,,
foxtrot_market,acct_a0f371c808,True,,
frontera_grill_ord,acct_70da8b7940,True,,
g_and_g_atlantic,acct_381b1169a4,True,,
gail_s_islington,acct_381b1169a4,True,,
garfield_super_save,acct_a0f371c808,True,,
gibsons_hugo_s,acct_381b1169a4,True,,
gibsons_italia,acct_381b1169a4,True,,
gift_baskets,acct_a08245e3ee,True,,
gioia_ristorante,acct_381b1169a4,True,,
girl_and_the_goat,acct_381b1169a4,True,,
gloria_s_seafood_city,acct_381b1169a4,True,,
gnocchi_on_9th,acct_381b1169a4,True,,
godaddy,acct_197774d3f8,True,,
golden_sands,acct_381b1169a4,True,,
good_night_sonny,acct_252a9dfee6,True,,
google,acct_197774d3f8,True,,
google_one,acct_00cb1c8923,True,,
goose_island_ord,acct_70da8b7940,True,,
grand_canyon_maswik,acct_381b1169a4,True,,
grand_canyon_national_park,acct_baba137819,True,,
grand_cru,acct_381b1169a4,True,,
granger_co,acct_381b1169a4,True,,
green_pig_pub,acct_252a9dfee6,True,,
ground_bar,acct_252a9dfee6,True,,
ground_central_coffee,acct_3bd559647b,True,,
grove_ord,acct_70da8b7940,True,,
guggenheim_museum,acct_e61560f024,True,,
hana_group,acct_381b1169a4,True,,
harvard_business_review,acct_85647ee8cc,True,,
hasib_coffee,acct_3bd559647b,True,,
hattie_b_s,acct_381b1169a4,True,,
havana_restaurant,acct_381b1169a4,True,,
heathrow_express,acct_d53dc228ca,True,,
heathrow_t3_budweiser,acct_70da8b7940,True,,
helix_pay,acct_381b1169a4,True,,
highjump_chicago,acct_c98d7e5aac,True,,
hill_country,acct_381b1169a4,True,,
hmshost,acct_70da8b7940,True,,
hole_in_the_wall,acct_381b1169a4,True,,
holly_bush,acct_381b1169a4,True,,
homeburger,acct_381b1169a4,True,,
hoppers_soho,acct_381b1169a4,True,,
hotel_fraye,acct_baba137819,True,,
house_of_blues_chicago,acct_381b1169a4,True,,
house_of_yes,acct_381b1169a4,True,,
hub_51,acct_381b1169a4,True,,
hudson_london_taxi,acct_bbf64ddba4,True,,
hugo_boss,acct_d5812e3876,True,,
hunt_and_fish_lga,acct_70da8b7940,True,,
hustlesasa,acct_381b1169a4,True,,
iconoclad,acct_d5812e3876,True,,
ikea,acct_5ba3d639db,True,,
il_vizietto_di_cortina,acct_381b1169a4,True,,
illinois_department_of_revenue,acct_9adf117b0b,True,,
illinois_secretary_of_state,acct_9adf117b0b,True,,
illinois_tollway,acct_c30ad64cd5,True,,
instacart,acct_74be5aaa27,True,,
intelligentsia_coffee,acct_3bd559647b,True,,
interpark,acct_c30ad64cd5,True,,
ivy_granary_square,acct_381b1169a4,True,,
jack_taxi,acct_bbf64ddba4,True,,
james_elliott_butchers,acct_381b1169a4,True,,
jfk_beacon_bar,acct_252a9dfee6,True,,
jin_bo_law,acct_381b1169a4,True,,
john_lewis,acct_5ba3d639db,True,,
joong_boo_market,acct_a0f371c808,True,,
jumpin_jacks_modernhaus,acct_baba137819,True,,
jw_marriott_marquis,acct_baba137819,True,,
k1_klub_house,acct_381b1169a4,True,,
kasa_living,acct_baba137819,True,,
kebab_empire,acct_381b1169a4,True,,
kenya_airways,acct_1d9ae90683,True,,
kenya_eta,acct_1d9ae90683,True,,
kfc,acct_381b1169a4,True,,
kilis_kitchen,acct_381b1169a4,True,,
king_of_falafel,acct_381b1169a4,True,,
la_colombe,acct_3bd559647b,True,,
la_vita_e_bella,acct_381b1169a4,True,,
lake_anesthesia,acct_36ad151cfb,True,,
lange_s_liquors,acct_a0f371c808,True,,
laundryheap,acct_fc40ca2b29,True,,
layla_grill,acct_381b1169a4,True,,
layla_s,acct_381b1169a4,True,,
le_colonial,acct_381b1169a4,True,,
le_grand_comptoir_jfk,acct_70da8b7940,True,,
le_meridien_mina_seyahi,acct_baba137819,True,,
lemonade,acct_7d15f960d5,True,,
levain_bakery,acct_3bd559647b,True,,
levy_united_center,acct_381b1169a4,True,,
liberty_london,acct_5ba3d639db,True,,
licensed_taxi,acct_bbf64ddba4,True,,
lime,acct_6299339e13,True,,
limitless,acct_256b235086,True,,
lincoln_park_zoo_concessions,acct_381b1169a4,True,,
linkedin_premium,acct_c3a4c4211d,True,,
liquor_bar_ord,acct_70da8b7940,True,,
liquorama,acct_a0f371c808,True,,
live_lean_rx,acct_36ad151cfb,True,,
lock_stock_and_barrel,acct_252a9dfee6,True,,
logs_and_embers,acct_381b1169a4,True,,
london_eastcheap_street,acct_381b1169a4,True,,
london_taxi,acct_bbf64ddba4,True,,
lot_d_parking,acct_c30ad64cd5,True,,
luke_bryan,acct_574bb68ff7,True,,
lululemon,acct_d5812e3876,True,,
luma_ai,acct_5fac83b5f6,True,,
lyft,acct_bbf64ddba4,True,,
lyric_theatre,acct_574bb68ff7,True,,
macdougal_street_ale_house,acct_252a9dfee6,True,,
macy_s,acct_d5812e3876,True,,
madewell,acct_d5812e3876,True,,
mail_boxes_etc_highbury_and_islington,acct_2e67d1504b,True,,
manchu_wok_ord,acct_70da8b7940,True,,
mandarin_oriental,acct_baba137819,True,,
maple_and_ash,acct_381b1169a4,True,,
mariano_s,acct_a0f371c808,True,,
market_street_grill,acct_381b1169a4,True,,
marks_and_spencer,acct_a0f371c808,True,,
mart_parc_parking,acct_c30ad64cd5,True,,
martin_s_bar_b_que_joint,acct_252a9dfee6,True,,
mattheessens,acct_381b1169a4,True,,
mattori_s_open_market,acct_a0f371c808,True,,
maxzi_the_good_food,acct_a0f371c808,True,,
mayhem_beer_and_sandwiches,acct_381b1169a4,True,,
mb_hospitality,acct_381b1169a4,True,,
mcdonald_s,acct_381b1169a4,True,,
mcgettigan_s,acct_381b1169a4,True,,
mcnamara_airport_mezzanine,acct_70da8b7940,True,,
mellow_mushroom,acct_381b1169a4,True,,
metropolis_parking,acct_c30ad64cd5,True,,
microsoft_store,acct_256b235086,True,,
midtown_cafe,acct_381b1169a4,True,,
millennium_knickerbocker,acct_baba137819,True,,
misfits_market,acct_a0f371c808,True,,
mister_wright_fine_wines,acct_a0f371c808,True,,
mobifix_gadgets,acct_256b235086,True,,
mochinut_chicago,acct_381b1169a4,True,,
modernhaus_soho,acct_baba137819,True,,
morpheus_ventures,acct_381b1169a4,True,,
mr_quiles_mexican_food,acct_381b1169a4,True,,
mta_lirr,acct_d53dc228ca,True,,
mta_subway,acct_d53dc228ca,True,,
muze_club,acct_252a9dfee6,True,,
my_place_soho,acct_381b1169a4,True,,
nairobi_street_kitchen,acct_381b1169a4,True,,
nashrin_matin,acct_381b1169a4,True,,
nathan_s,acct_381b1169a4,True,,
neal_s_yard_dairy,acct_381b1169a4,True,,
netflix,acct_1d4e8d81e0,True,,
new_york_times,acct_85647ee8cc,True,,
next,acct_381b1169a4,True,,
ng_immigration_visa,acct_1d9ae90683,True,,
nigerian_conservation_foundation,acct_c98d7e5aac,True,,
nike,acct_d5812e3876,True,,
niu_technologies,acct_223b76f31e,True,,
nohea_cafe,acct_381b1169a4,True,,
